#CHROM	POS	/net/bbi/vol1/data/sge-analysis/nobackup/collections/datafreeze.20250331/bam/BARD1/BARD1_X11C_R3R6_D13.bam
chr2:214728666-214728878	1	2152002
chr2:214728666-214728878	2	2154689
chr2:214728666-214728878	3	2155269
chr2:214728666-214728878	4	2155041
chr2:214728666-214728878	5	2155728
chr2:214728666-214728878	6	2155198
chr2:214728666-214728878	7	2156709
chr2:214728666-214728878	8	2156104
chr2:214728666-214728878	9	2156083
chr2:214728666-214728878	10	2156117
chr2:214728666-214728878	11	2157931
chr2:214728666-214728878	12	2157511
chr2:214728666-214728878	13	2157947
chr2:214728666-214728878	14	2158128
chr2:214728666-214728878	15	2157748
chr2:214728666-214728878	16	2157660
chr2:214728666-214728878	17	2158365
chr2:214728666-214728878	18	2158314
chr2:214728666-214728878	19	2158440
chr2:214728666-214728878	20	2158886
chr2:214728666-214728878	21	2158957
chr2:214728666-214728878	22	2158996
chr2:214728666-214728878	23	2159108
chr2:214728666-214728878	24	2159128
chr2:214728666-214728878	25	2159168
chr2:214728666-214728878	26	2159231
chr2:214728666-214728878	27	2159262
chr2:214728666-214728878	28	2159273
chr2:214728666-214728878	29	2159325
chr2:214728666-214728878	30	2159352
chr2:214728666-214728878	31	2159425
chr2:214728666-214728878	32	2159432
chr2:214728666-214728878	33	2159450
chr2:214728666-214728878	34	2159460
chr2:214728666-214728878	35	2159068
chr2:214728666-214728878	36	2159452
chr2:214728666-214728878	37	2159454
chr2:214728666-214728878	38	2159492
chr2:214728666-214728878	39	2159506
chr2:214728666-214728878	40	2159478
chr2:214728666-214728878	41	2159476
chr2:214728666-214728878	42	2159467
chr2:214728666-214728878	43	2159475
chr2:214728666-214728878	44	2159442
chr2:214728666-214728878	45	2159450
chr2:214728666-214728878	46	2159514
chr2:214728666-214728878	47	2159538
chr2:214728666-214728878	48	2159529
chr2:214728666-214728878	49	2159530
chr2:214728666-214728878	50	2159522
chr2:214728666-214728878	51	2159388
chr2:214728666-214728878	52	2159203
chr2:214728666-214728878	53	2158975
chr2:214728666-214728878	54	2158698
chr2:214728666-214728878	55	2158989
chr2:214728666-214728878	56	2159048
chr2:214728666-214728878	57	2159300
chr2:214728666-214728878	58	2159147
chr2:214728666-214728878	59	2159211
chr2:214728666-214728878	60	2158816
chr2:214728666-214728878	61	2158998
chr2:214728666-214728878	62	2158703
chr2:214728666-214728878	63	2158895
chr2:214728666-214728878	64	2158633
chr2:214728666-214728878	65	2158417
chr2:214728666-214728878	66	2158384
chr2:214728666-214728878	67	2158342
chr2:214728666-214728878	68	2158453
chr2:214728666-214728878	69	2158846
chr2:214728666-214728878	70	2158819
chr2:214728666-214728878	71	2159078
chr2:214728666-214728878	72	2158798
chr2:214728666-214728878	73	2158577
chr2:214728666-214728878	74	2158214
chr2:214728666-214728878	75	2158027
chr2:214728666-214728878	76	2158286
chr2:214728666-214728878	77	2158527
chr2:214728666-214728878	78	2158377
chr2:214728666-214728878	79	2158625
chr2:214728666-214728878	80	2158839
